Ad_ID,Campaign_Name,Clicks,Impressions,Cost,Leads,Conversions,Conversion Rate,Sale_Amount,Ad_Date,Location,Device,Keyword
A1052,Data Analytics Corse,157,3315,189.56,15,10,0.064,1026.00,11/25/2024,HYDERABAD,MOBILE,online data analytic
A1053,Data Anlytics Corse,113,4945,187.66,15,10,,1564.00,11/26/2024,HYDERABAD,TABLET,learn data analytics
A1054,Data Analytcis Course,96,3166,196.15,29,7,0.073,1902.00,26-11-2024,hyderabad,Desktop,learn data analytics
A1055,Data Analytcis Course,125,4223,183.68,15,6,,1267.00,11/5/2024,HYDERABAD,DESKTOP,data analitics online
A1056,Data Analytcis Course,104,4798,210.10,18,3,,1340.00,21-11-2024,hyderabad,desktop,analytics for data
A1057,Data Anlytics Corse,194,5655,208.58,13,6,0.031,1692.00,11/16/2024,hydrebad,mobile,data anaytics training
A1058,DataAnalyticsCourse,144,5140,219.48,19,8,0.047,1054.00,18-11-2024,Hyderbad,desktop,data analitics online
A1059,Data Analytics Corse,179,3025,238.81,17,3,0.017,,11/11/2024,HYDERABAD,mobile,data analitics online
A1060,Data Analytics Corse,166,5223,189.76,18,7,0.042,1219.00,16-11-2024,Hyderbad,Tablet,data analytics course
A1061,Data Analytcis Course,166,5089,,26,7,0.042,1946.00,11/11/2024,Hyderbad,tablet,analytics for data
A1062,Data Anlytics Corse,118,5016,204.31,19,9,0.045,1833.00,11/8/2024,hyderabad,Desktop,analytics for data
A1063,DataAnalyticsCourse,185,3617,222.32,24,7,0.038,1963.00,23-11-2024,hyderabad,Mobile,data analytics course
A1064,Data Analytcis Course,116,3764,232.03,28,10,0.086,1348.00,11/20/2024,hyderabad,Tablet,data analytics course
A1065,Data Analytics Corse,99,4489,183.73,15,6,0.061,1264.00,11/5/2024,HYDERABAD,desktop,online data analytic
A1066,DataAnalyticsCourse,172,4441,221.18,14,8,0.047,1771.00,27-11-2024,hyderabad,mobile,analytics for data
A1067,Data Analytcis Course,138,5751,199.11,26,9,0.052,1337.00,11/10/2024,Hyderbad,desktop,data analitics online
A1068,Data Analytcis Course,84,4036,234.22,23,10,0.119,1287.00,4/11/2024,Hyderbad,Desktop,learn data analytics
A1069,DataAnalyticsCourse,124,4942,240.59,18,3,0.024,1922.00,11/16/2024,hydrebad,DESKTOP,learn data analytics
A1070,Data Analytcis Course,122,4989,215.48,12,5,0.041,1975.00,11/6/2024,hyderabad,MOBILE,data analitics online
A1071,Data Analytics Corse,180,3006,228.14,22,7,0.039,1556.00,11/4/2024,HYDERABAD,TABLET,learn data analytics
A1072,DataAnalyticsCourse,133,3728,199.13,11,10,,,11/9/2024,HYDERABAD,Desktop,data analitics online
A1073,DataAnalyticsCourse,164,3734,225.39,27,8,0.04,1728.00,12/11/2024,HYDERABAD,tablet,learn data analytics
A1074,Data Analytics Corse,150,4621,246.30,15,6,0.049,1554.00,11/9/2024,hyderabad,Desktop,data analitics online
A1075,Data Analytcis Course,97,3212,212.55,27,10,0.103,1994.00,23-11-2024,HYDERABAD,DESKTOP,analytics for data
A1076,Data Anlytics Corse,128,4225,228.24,30,4,0.031,1618.00,11/8/2024,Hyderbad,mobile,learn data analytics
A1077,Data Analytics Corse,99,4779,233.78,26,10,0.101,1086.00,11/5/2024,hyderabad,DESKTOP,online data analytic
A1078,Data Anlytics Corse,86,5352,234.05,11,5,0.058,1364.00,11/9/2024,hydrebad,TABLET,online data analytic
A1079,Data Analytcis Course,118,5405,187.28,25,7,0.058,1836.00,11/5/2024,hydrebad,TABLET,analytics for data
A1080,Data Analytcis Course,127,5430,199.13,14,6,0.047,1932.00,11/25/2024,hydrebad,Mobile,analytics for data
A1081,Data Analytics Corse,83,4808,241.35,20,7,0.084,1038.00,30-11-2024,Hyderbad,mobile,learn data analytics
A1082,Data Analytcis Course,149,3587,217.53,23,8,,,17-11-2024,hydrebad,Mobile,data analitics online
A1083,DataAnalyticsCourse,168,4683,215.28,30,8,0.048,1327.00,11/28/2024,HYDERABAD,Mobile,data analitics online
A1084,DataAnalyticsCourse,112,5814,227.38,11,8,0.071,1467.00,11/3/2024,Hyderbad,Tablet,analytics for data
A1085,DataAnalyticsCourse,123,3292,233.20,28,6,0.049,1174.00,11/19/2024,HYDERABAD,Desktop,data anaytics training
A1086,Data Anlytics Corse,174,4305,206.02,20,3,0.034,1057.00,11/23/2024,HYDERABAD,desktop,learn data analytics
A1087,Data Analytics Corse,143,4368,,27,7,0.049,1199.00,3/11/2024,hydrebad,tablet,analytics for data
A1088,Data Analytcis Course,195,5935,209.68,23,9,0.046,1966.00,11/7/2024,hydrebad,tablet,online data analytic
A1089,DataAnalyticsCourse,176,5847,241.04,13,6,0.034,1194.00,11/2/2024,hyderabad,DESKTOP,online data analytic
A1090,Data Anlytics Corse,141,4851,227.39,28,5,,1821.00,11/15/2024,HYDERABAD,desktop,analytics for data
A1091,Data Analytics Corse,108,4710,204.16,19,10,0.093,1731.00,11/20/2024,Hyderbad,tablet,data analitics online
A1092,Data Anlytics Corse,112,3345,,11,6,0.047,1859.00,11/23/2024,Hyderbad,TABLET,analytics for data
A1093,DataAnalyticsCourse,,5903,184.41,23,9,,1188.00,20-11-2024,Hyderbad,tablet,online data analytic
A1094,Data Analytcis Course,145,5004,216.45,22,5,0.034,1496.00,11/1/2024,hydrebad,tablet,data analitics online
A1095,Data Anlytics Corse,183,3947,197.30,15,8,0.044,1645.00,11/14/2024,Hyderbad,Desktop,data anaytics training
A1096,DataAnalyticsCourse,113,3690,229.42,20,5,0.044,1915.00,11/28/2024,HYDERABAD,tablet,learn data analytics
A1097,Data Analytcis Course,101,5943,187.32,27,6,0.059,1614.00,11/15/2024,hydrebad,TABLET,data analitics online
A1098,DataAnalyticsCourse,189,5357,222.50,24,3,0.05,1839.00,11/25/2024,hydrebad,tablet,data analytics course
A1099,Data Anlytics Corse,154,3596,236.14,30,9,0.058,1036.00,11/6/2024,HYDERABAD,tablet,online data analytic
A1100,Data Anlytics Corse,179,5162,246.76,16,5,0.05,1052.00,11/29/2024,Hyderbad,DESKTOP,online data analytic
A1101,Data Analytics Corse,148,3747,244.41,18,8,0.054,1092.00,11/17/2024,HYDERABAD,Tablet,learn data analytics
A1102,Data Anlytics Corse,177,4822,197.03,26,9,0.051,1909.00,11/4/2024,Hyderbad,Mobile,online data analytic
A1103,Data Analytcis Course,119,5800,221.36,11,8,,,29-11-2024,hydrebad,Desktop,analytics for data
A1104,Data Analytcis Course,89,3594,,14,6,0.067,1026.00,11/15/2024,HYDERABAD,tablet,data analytics course
A1105,Data Analytcis Course,146,4765,230.22,23,5,0.034,1944.00,11/28/2024,hyderabad,Tablet,analytics for data
A1106,Data Analytics Corse,109,4128,183.65,12,5,,,11/30/2024,HYDERABAD,Desktop,data analitics online
A1107,Data Anlytics Corse,159,5127,197.16,21,4,0.025,1867.00,11/3/2024,hyderabad,tablet,learn data analytics
A1108,Data Anlytics Corse,144,5674,235.36,12,3,0.021,1505.00,11/22/2024,hyderabad,desktop,analytics for data
A1109,Data Anlytics Corse,122,3793,237.22,19,8,0.066,1842.00,11/20/2024,hyderabad,tablet,online data analytic
A1110,Data Analytics Corse,112,4315,235.33,28,9,0.08,1116.00,11/8/2024,HYDERABAD,MOBILE,data analytics course
A1111,DataAnalyticsCourse,174,4704,192.32,21,10,0.049,1501.00,11/24/2024,HYDERABAD,MOBILE,learn data analytics
A1112,Data Analytics Corse,168,3349,235.60,23,9,0.054,1894.00,11/9/2024,hyderabad,Mobile,online data analytic
A1113,DataAnalyticsCourse,173,3501,223.90,28,10,0.044,1179.00,11/25/2024,Hyderbad,Mobile,data analytics course
A1114,Data Analytics Corse,91,,203.52,,9,0.099,1838.00,20-11-2024,hydrebad,DESKTOP,data analytics course
A1115,Data Analytcis Course,140,5405,195.69,21,8,,1094.00,21-11-2024,hyderabad,Desktop,data anaytics training
A1116,DataAnalyticsCourse,93,3425,229.76,26,4,0.043,1344.00,24-11-2024,Hyderbad,Mobile,online data analytic
A1117,Data Analytcis Course,114,5263,189.13,23,5,0.044,1434.00,5/11/2024,HYDERABAD,Mobile,data analytics course
A1118,Data Anlytics Corse,172,3889,,21,10,,1766.00,11/16/2024,HYDERABAD,TABLET,online data analytic
A1119,Data Analytcis Course,188,3327,193.76,24,6,0.047,1220.00,3/11/2024,hydrebad,Tablet,online data analytic
A1120,Data Anlytics Corse,117,,214.18,29,4,0.034,1348.00,11/23/2024,hyderabad,MOBILE,learn data analytics
A1121,DataAnalyticsCourse,113,5471,215.57,27,9,0.038,1123.00,11/23/2024,hyderabad,Mobile,analytics for data
A1122,Data Analytics Corse,109,3550,240.33,14,8,0.073,1982.00,11/24/2024,hyderabad,Tablet,learn data analytics
A1123,Data Anlytics Corse,174,3178,225.67,18,10,0.057,1140.00,20-11-2024,HYDERABAD,Desktop,data analitics online
A1124,DataAnalyticsCourse,96,4673,192.88,24,5,0.052,1962.00,11/10/2024,HYDERABAD,MOBILE,learn data analytics
A1125,Data Analytcis Course,110,4254,187.87,11,4,,1172.00,11/4/2024,hyderabad,MOBILE,data anaytics training
A1126,Data Anlytics Corse,163,3658,237.63,23,7,0.043,1699.00,11/23/2024,Hyderbad,TABLET,online data analytic
A1127,DataAnalyticsCourse,161,5319,235.98,13,4,0.025,1423.00,11/18/2024,Hyderbad,Mobile,learn data analytics
A1128,DataAnalyticsCourse,195,5278,193.49,30,7,0.047,1456.00,11/4/2024,hyderabad,Mobile,data analytics course
A1129,Data Anlytics Corse,84,3755,218.88,14,9,0.047,1299.00,11/5/2024,Hyderbad,TABLET,analytics for data
A1130,Data Anlytics Corse,113,4580,194.82,11,6,0.059,1248.00,11/28/2024,Hyderbad,tablet,data analytics course
A1131,Data Analytics Corse,117,3809,225.14,12,5,0.032,1495.00,11/9/2024,hydrebad,DESKTOP,data anaytics training
A1132,DataAnalyticsCourse,135,5118,219.99,27,6,0.044,1089.00,11/20/2024,hyderabad,MOBILE,online data analytic
A1133,Data Anlytics Corse,92,5766,186.14,28,7,0.076,1013.00,27-11-2024,HYDERABAD,TABLET,data anaytics training
A1134,Data Analytcis Course,188,3934,206.21,16,9,0.048,,4/11/2024,hydrebad,Desktop,data analytics course
A1135,Data Analytcis Course,101,4724,228.38,13,7,0.034,1243.00,11/20/2024,hyderabad,Desktop,learn data analytics
A1136,Data Anlytics Corse,111,5895,205.25,29,4,0.036,1693.00,11/4/2024,HYDERABAD,Mobile,data analytics course
A1137,Data Analytics Corse,122,4048,202.23,28,10,0.082,,26-11-2024,hyderabad,mobile,online data analytic
A1138,Data Analytcis Course,99,3169,237.68,21,6,,1509.00,11/22/2024,hydrebad,Mobile,online data analytic
A1139,DataAnalyticsCourse,154,4535,229.29,11,3,0.019,1434.00,11/1/2024,HYDERABAD,TABLET,data anaytics training
A1140,Data Anlytics Corse,129,3849,249.29,22,10,0.078,1767.00,11/11/2024,HYDERABAD,desktop,analytics for data
A1141,Data Analytcis Course,,4259,182.98,10,10,0.031,1048.00,16-11-2024,hyderabad,MOBILE,analytics for data
A1142,DataAnalyticsCourse,143,3628,,18,9,0.063,1566.00,17-11-2024,hydrebad,tablet,data analytics course
A1143,Data Analytics Corse,80,3269,,12,4,0.05,1753.00,23-11-2024,Hyderbad,Desktop,data analitics online
A1144,Data Anlytics Corse,134,3724,188.02,26,9,0.047,1891.00,11/7/2024,hydrebad,DESKTOP,online data analytic
A1145,Data Anlytics Corse,174,4838,242.35,21,3,0.017,1599.00,11/22/2024,HYDERABAD,desktop,data analitics online
A1146,Data Analytics Corse,196,4524,192.01,15,8,0.041,1048.00,11/13/2024,hyderabad,desktop,data analytics course
A1147,Data Analytics Corse,194,4694,228.15,17,7,0.036,1874.00,11/14/2024,hyderabad,Tablet,learn data analytics
A1148,Data Analytics Corse,180,4326,221.67,13,,,1427.00,6/11/2024,Hyderbad,TABLET,online data analytic
A1149,Data Analytcis Course,100,4235,222.61,10,8,0.051,1814.00,1/11/2024,hyderabad,Desktop,data anaytics training
A1150,Data Anlytics Corse,153,4367,184.51,29,9,0.059,1507.00,11/13/2024,HYDERABAD,MOBILE,analytics for data
A1151,Data Anlytics Corse,110,3748,198.68,24,9,0.082,1041.00,5/11/2024,Hyderbad,TABLET,data anaytics training
A1152,Data Analytics Corse,116,3901,,21,4,0.034,1483.00,11/13/2024,hyderabad,Tablet,online data analytic
A1153,Data Analytics Corse,156,3335,236.98,29,7,0.045,1143.00,11/14/2024,Hyderbad,desktop,data analytics course
A1154,Data Analytics Corse,177,5671,210.74,19,6,0.058,1172.00,25-11-2024,HYDERABAD,Tablet,data analytics course
A1155,DataAnalyticsCourse,89,3408,214.78,25,9,0.101,1898.00,11/15/2024,hydrebad,Mobile,data analytics course
A1156,DataAnalyticsCourse,155,4422,183.96,14,8,0.037,1143.00,11/15/2024,hydrebad,MOBILE,analytics for data
A1157,Data Analytcis Course,123,3097,190.55,20,8,0.065,1640.00,11/22/2024,Hyderbad,tablet,data analytics course
A1158,Data Analytics Corse,102,3621,244.82,10,5,0.049,1375.00,11/12/2024,hydrebad,MOBILE,learn data analytics
A1159,Data Analytics Corse,150,4806,244.53,15,9,,1602.00,7/11/2024,hydrebad,Mobile,data analitics online
A1160,Data Anlytics Corse,160,,245.87,11,6,0.037,,11/5/2024,Hyderbad,DESKTOP,analytics for data
A1161,Data Anlytics Corse,143,3901,191.38,29,4,0.053,1786.00,11/24/2024,HYDERABAD,MOBILE,learn data analytics
A1162,Data Anlytics Corse,178,4673,222.46,29,6,0.051,1219.00,11/4/2024,hydrebad,tablet,online data analytic
A1163,DataAnalyticsCourse,152,3542,208.96,13,9,,1735.00,11/13/2024,Hyderbad,desktop,data analytics course
A1164,DataAnalyticsCourse,139,4347,238.19,26,5,,1384.00,13-11-2024,hydrebad,tablet,analytics for data
A1165,Data Analytcis Course,175,5014,247.24,25,7,0.04,1499.00,15-11-2024,hydrebad,MOBILE,learn data analytics
A1166,Data Analytics Corse,92,4185,218.46,21,9,0.035,1567.00,11/3/2024,Hyderbad,mobile,data analitics online
A1167,DataAnalyticsCourse,123,5964,,17,6,,1363.00,11/3/2024,hydrebad,desktop,data anaytics training
A1168,Data Analytcis Course,86,5124,183.71,13,10,0.116,1137.00,20-11-2024,HYDERABAD,MOBILE,data anaytics training
A1169,Data Anlytics Corse,117,4162,238.08,28,10,0.085,1186.00,11/22/2024,hydrebad,MOBILE,online data analytic
A1170,Data Analytcis Course,146,4330,191.90,20,3,0.021,1748.00,11/9/2024,HYDERABAD,MOBILE,online data analytic
A1171,Data Analytcis Course,89,3268,,17,4,0.045,1233.00,11/13/2024,hyderabad,DESKTOP,online data analytic
A1172,DataAnalyticsCourse,195,3483,213.99,27,7,0.036,1796.00,23-11-2024,hyderabad,Desktop,learn data analytics
A1173,Data Analytcis Course,170,4519,240.63,22,7,0.041,1012.00,27-11-2024,Hyderbad,MOBILE,analytics for data
A1174,Data Analytcis Course,97,3605,240.29,21,7,0.045,1682.00,11/10/2024,HYDERABAD,Desktop,data analitics online
A1175,Data Anlytics Corse,159,5076,204.97,15,10,0.063,1638.00,17-11-2024,Hyderbad,tablet,data analytics course
A1176,Data Anlytics Corse,131,5352,225.86,24,10,,1961.00,11/20/2024,HYDERABAD,mobile,online data analytic
A1177,Data Analytics Corse,108,5503,185.26,11,7,0.065,1921.00,6/11/2024,hydrebad,Mobile,data analitics online
A1178,DataAnalyticsCourse,93,4308,209.83,19,9,0.097,1694.00,11/20/2024,hyderabad,mobile,data analytics course
A1179,Data Analytcis Course,137,3555,213.50,29,3,,,11/6/2024,hyderabad,DESKTOP,data analytics course
A1180,Data Analytics Corse,81,5615,193.14,30,6,0.074,1255.00,11/28/2024,hyderabad,MOBILE,analytics for data
A1181,Data Analytcis Course,160,4743,206.22,23,10,0.062,1825.00,11/20/2024,hydrebad,mobile,learn data analytics
A1182,Data Anlytics Corse,186,3337,183.58,16,8,0.043,1045.00,11/30/2024,HYDERABAD,Desktop,online data analytic
A1183,Data Analytcis Course,105,3234,238.80,27,10,0.095,1248.00,11/6/2024,Hyderbad,Desktop,online data analytic
A1184,Data Analytcis Course,131,3913,203.69,14,10,,1079.00,11/25/2024,Hyderbad,DESKTOP,data anaytics training
A1185,Data Analytcis Course,129,3208,204.20,18,8,0.032,1456.00,11/29/2024,hyderabad,Desktop,learn data analytics
A1186,Data Anlytics Corse,187,5972,220.64,30,7,0.037,1980.00,11/14/2024,Hyderbad,Desktop,data analytics course
A1187,Data Analytics Corse,167,3662,235.43,10,7,0.042,1684.00,11/25/2024,Hyderbad,MOBILE,data anaytics training
A1188,DataAnalyticsCourse,140,3359,182.13,29,7,0.045,1973.00,11/28/2024,hydrebad,desktop,data analitics online
A1189,Data Analytics Corse,198,3700,220.67,14,5,,1531.00,11/10/2024,hyderabad,MOBILE,analytics for data
A1190,Data Anlytics Corse,196,3835,218.07,10,9,0.041,1871.00,4/11/2024,hyderabad,TABLET,online data analytic
A1191,Data Analytics Corse,140,5638,208.02,22,5,,1652.00,11/18/2024,Hyderbad,desktop,data anaytics training
A1192,Data Analytics Corse,157,5825,230.60,16,3,0.019,1041.00,11/16/2024,hydrebad,desktop,data anaytics training
A1193,Data Analytics Corse,91,5428,248.38,11,3,0.033,1835.00,22-11-2024,HYDERABAD,tablet,learn data analytics
A1194,Data Analytcis Course,140,3571,238.12,21,9,0.064,1762.00,11/16/2024,HYDERABAD,DESKTOP,learn data analytics
A1195,DataAnalyticsCourse,154,3638,182.17,11,8,0.056,1413.00,11/4/2024,HYDERABAD,mobile,online data analytic
A1196,Data Anlytics Corse,133,4505,200.52,23,3,0.039,1562.00,26-11-2024,hyderabad,TABLET,analytics for data
A1197,Data Analytcis Course,,5016,238.59,26,9,,1620.00,11/20/2024,Hyderbad,Mobile,data analitics online
A1198,Data Anlytics Corse,141,3071,208.20,10,6,0.043,1647.00,18-11-2024,hydrebad,Tablet,data analitics online
A1199,Data Anlytics Corse,135,5682,,30,3,,1445.00,11/15/2024,Hyderbad,tablet,data anaytics training
A1200,Data Analytics Corse,199,5067,247.38,24,8,0.059,1365.00,11/19/2024,Hyderbad,mobile,analytics for data
A1201,Data Analytcis Course,138,3971,184.87,28,3,0.022,1718.00,11/7/2024,Hyderbad,TABLET,learn data analytics
A1202,Data Analytcis Course,175,4481,236.38,21,10,0.057,1257.00,20-11-2024,hyderabad,DESKTOP,data analytics course
A1203,Data Anlytics Corse,170,5476,186.29,25,4,0.024,1731.00,8/11/2024,hyderabad,mobile,analytics for data
A1204,Data Analytcis Course,138,4426,203.75,24,10,0.072,1838.00,11/5/2024,HYDERABAD,MOBILE,data analytics course
A1205,DataAnalyticsCourse,108,4080,247.80,18,4,0.037,1363.00,11/30/2024,Hyderbad,Tablet,online data analytic
A1206,Data Anlytics Corse,150,4113,219.67,12,7,0.047,1196.00,11/22/2024,hyderabad,MOBILE,learn data analytics
A1207,DataAnalyticsCourse,90,5119,226.58,14,10,0.111,1348.00,11/7/2024,hydrebad,DESKTOP,analytics for data
A1208,Data Analytics Corse,98,3422,223.55,17,7,,1414.00,11/19/2024,hydrebad,TABLET,online data analytic
A1209,Data Analytcis Course,130,3327,224.83,13,3,0.023,1668.00,16-11-2024,hydrebad,MOBILE,online data analytic
A1210,Data Analytcis Course,199,,199.98,15,8,0.04,1467.00,11/8/2024,HYDERABAD,tablet,data anaytics training
A1211,DataAnalyticsCourse,101,3241,183.34,24,,,1483.00,10/11/2024,Hyderbad,TABLET,data anaytics training
A1212,Data Anlytics Corse,118,3970,,27,9,0.076,1036.00,11/19/2024,hydrebad,desktop,data analytics course
A1213,Data Analytics Corse,199,5734,247.99,18,,,1455.00,11/11/2024,hydrebad,DESKTOP,data analitics online
A1214,DataAnalyticsCourse,183,4001,237.85,23,4,0.022,1430.00,11/21/2024,Hyderbad,MOBILE,online data analytic
A1215,Data Anlytics Corse,126,4206,233.76,29,10,0.041,1998.00,11/6/2024,hyderabad,tablet,online data analytic
A1216,Data Anlytics Corse,199,4745,,13,9,,1800.00,11/28/2024,HYDERABAD,tablet,analytics for data
A1217,DataAnalyticsCourse,92,4042,200.75,15,7,0.076,1234.00,11/24/2024,HYDERABAD,TABLET,learn data analytics
A1218,Data Anlytics Corse,,4883,249.61,10,3,,1464.00,11/12/2024,hyderabad,Tablet,online data analytic
A1219,DataAnalyticsCourse,92,3748,208.15,14,8,0.087,1297.00,11/2/2024,hyderabad,Desktop,analytics for data
A1220,Data Anlytics Corse,135,3480,224.94,11,4,0.03,1398.00,11/23/2024,Hyderbad,Tablet,data analitics online
A1221,DataAnalyticsCourse,177,3007,223.22,30,8,0.045,1766.00,11/2/2024,hydrebad,MOBILE,data analitics online
A1222,Data Analytics Corse,117,3380,186.73,21,10,0.055,1958.00,11/19/2024,hyderabad,desktop,data anaytics training
A1223,DataAnalyticsCourse,127,4823,194.69,11,10,0.057,1496.00,15-11-2024,hydrebad,DESKTOP,data analytics course
A1224,Data Analytcis Course,132,4490,202.45,10,7,0.053,1441.00,11/10/2024,Hyderbad,mobile,data analitics online
A1225,DataAnalyticsCourse,102,5149,229.48,27,9,0.088,1137.00,26-11-2024,hyderabad,Desktop,learn data analytics
A1226,Data Anlytics Corse,91,4290,213.74,,10,,1797.00,11/16/2024,hydrebad,Mobile,online data analytic
A1227,Data Anlytics Corse,163,5643,217.40,30,6,,1678.00,11/1/2024,hydrebad,DESKTOP,data analitics online
